id,id_user,stat_sus,update_time,longitude,latitude,longitude_user,latitude_user,mean_vertical,std_dev_vertical,mean_horizontal,std_dev_horizontal,accuracy
1,AdamNaFonieJacka,-1,0,19.923635,50.059204,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
2,AdamNaFonieJacka,-2,1642695866737,19.923351,50.059204,19.92333,50.05920,-43.35366,4.88767,18.45865,2.09574,13.94
3,AdamNaFonieJacka,-2,1642695922682,19.923067,50.059204,19.92305,50.05919,-41.94990,0.31614,21.36129,0.54069,11.79
4,AdamNaFonieJacka,-1,0,19.922783,50.059204,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
5,AdamNaFonieJacka,-1,0,19.922783,50.059391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
6,AdamNaFonieJacka,-2,1642696160355,19.922499,50.059204,19.92246,50.05920,-42.33403,0.71711,20.33446,0.61470,9.65
7,AdamNaFonieJacka,-2,1642696219219,19.922499,50.059391,19.92255,50.05937,-45.05383,0.34632,20.12071,0.26393,10.72
8,AdamNaFonieJacka,-1,0,19.922213,50.059017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
9,AdamNaFonieJacka,-2,1642696318500,19.922213,50.059204,19.92223,50.05917,-42.71729,0.63243,19.71441,0.28501,10.72
10,AdamNaFonieJacka,-2,1642696347480,19.922213,50.059391,19.92220,50.05939,-42.20729,0.43680,20.14703,0.31651,12.86
11,AdamNaFonieJacka,-1,0,19.921928,50.059017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
12,AdamNaFonieJacka,-2,1642696484575,19.921928,50.059204,19.92191,50.05921,-41.52433,0.17859,20.49607,0.34903,9.65
13,AdamNaFonieJacka,-1,0,19.921928,50.059391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
14,AdamNaFonieJacka,-2,1642696598600,19.921642,50.059017,19.92164,50.05900,-40.18298,0.61712,21.09728,0.38673,9.65
15,AdamNaFonieJacka,-2,1642696629808,19.921642,50.059204,19.92168,50.05921,-43.79196,0.42700,19.18776,0.33254,9.65
16,AdamNaFonieJacka,-2,1642696744616,19.921642,50.059391,19.92165,50.05943,-41.82006,0.76101,20.89668,0.45417,10.72
17,AdamNaFonieJacka,-1,0,19.921642,50.059578,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
18,AdamNaFonieJacka,-2,1642696859035,19.921358,50.059017,19.92139,50.05901,-42.17661,0.35451,20.48070,0.20301,11.79
19,AdamNaFonieJacka,-2,1642696993380,19.921358,50.059204,19.92138,50.05921,-42.00878,0.84906,19.76343,0.38517,9.65
20,AdamNaFonieJacka,-2,1642697100022,19.921358,50.059391,19.92136,50.05936,-42.37312,0.24595,20.71027,0.62493,9.65
21,AdamNaFonieJacka,-2,1642697158050,19.921358,50.059578,19.92141,50.05959,-41.58987,0.22367,19.86398,0.24019,9.65
22,AdamNaFonieJacka,-2,1642697255363,19.921074,50.059017,19.92108,50.05900,-42.43966,0.52245,20.33346,0.57107,9.65
23,AdamNaFonieJacka,-2,1642697312809,19.921074,50.059204,19.92105,50.05924,-42.50789,0.47002,19.65086,0.46838,11.79
24,AdamNaFonieJacka,-2,1642697374672,19.921074,50.059391,19.92109,50.05942,-42.40261,0.47104,19.66469,0.43374,11.79
25,AdamNaFonieJacka,-2,1642697440550,19.921074,50.059578,19.92105,50.05962,-42.91437,0.55554,19.79881,0.46511,10.72
26,AdamNaFonieJacka,-1,0,19.920790,50.058834,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
27,AdamNaFonieJacka,-2,1644313002838,19.920790,50.059017,19.92078,50.05907,-41.63602,4.55811,19.05355,2.07735,9.65
28,AdamNaFonieJacka,-2,1644313069186,19.920790,50.059204,19.92074,50.05923,-43.00538,0.22229,19.12788,0.22125,9.65
29,AdamNaFonieJacka,-2,1644313124948,19.920790,50.059391,19.92075,50.05936,-42.72367,0.21695,19.69346,0.39155,10.72
30,AdamNaFonieJacka,-2,1644313205429,19.920790,50.059578,19.92073,50.05960,-43.87091,0.25672,19.46183,0.43132,11.79
31,AdamNaFonieJacka,-2,1644313301295,19.920506,50.058834,19.92050,50.05886,-43.41625,0.25028,20.99611,0.22756,9.65
32,AdamNaFonieJacka,-2,1644313328989,19.920506,50.059017,19.92053,50.05901,-42.98281,0.29477,21.13221,0.20629,9.65
33,AdamNaFonieJacka,-2,1644313386298,19.920506,50.059204,19.92054,50.05922,-42.67001,0.36621,21.49755,0.30154,10.72
34,AdamNaFonieJacka,-2,1644313467163,19.920506,50.059391,19.92052,50.05944,-42.66683,0.25106,20.62032,0.26400,9.65
35,AdamNaFonieJacka,-2,1644313496300,19.920506,50.059578,19.92050,50.05962,-43.01444,0.35379,19.11963,0.12694,11.79
36,AdamNaFonieJacka,-1,0,19.920506,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
37,AdamNaFonieJacka,-2,1644313628312,19.920219,50.058834,19.92025,50.05885,-43.74970,0.21024,20.55320,0.34045,9.65
38,AdamNaFonieJacka,-2,1644313789679,19.920219,50.059017,19.92023,50.05901,-41.93476,0.21421,20.06066,0.26831,3.22
39,AdamNaFonieJacka,-2,1644313838775,19.920219,50.059204,19.92026,50.05924,-42.13125,0.25989,19.89935,0.25875,6.43
40,AdamNaFonieJacka,-2,1644314046870,19.920219,50.059391,19.92021,50.05939,-42.46987,0.13702,18.28282,0.18130,10.72
41,AdamNaFonieJacka,-2,1644314120455,19.920219,50.059578,19.92018,50.05959,-42.00064,0.23774,19.95359,0.30963,10.72
42,AdamNaFonieJacka,-2,1644314198418,19.920219,50.059765,19.92019,50.05977,-42.46481,0.23544,20.28641,0.30328,9.65
43,AdamNaFonieJacka,-2,1644314310452,19.919935,50.058834,19.91994,50.05885,-42.16808,0.27173,20.27220,0.30072,6.43
44,AdamNaFonieJacka,-2,1644314347265,19.919935,50.059017,19.91996,50.05900,-42.03293,0.24469,19.90125,0.45077,9.65
45,AdamNaFonieJacka,-2,1644314417915,19.919935,50.059204,19.91992,50.05917,-41.99460,0.25242,19.86570,0.28469,10.72
46,AdamNaFonieJacka,-2,1644314504452,19.919935,50.059391,19.91992,50.05938,-42.57532,0.16227,19.27027,0.20262,12.86
47,AdamNaFonieJacka,-2,1644314626882,19.919935,50.059578,19.91992,50.05960,-41.47913,0.21354,20.24265,0.15163,9.65
48,AdamNaFonieJacka,-2,1644314650562,19.919935,50.059765,19.91993,50.05976,-42.07581,0.11978,20.15060,0.20212,10.72
49,AdamNaFonieJacka,-2,1644315100229,19.919651,50.058834,19.91966,50.05884,-42.18934,0.23669,20.78662,0.40066,6.43
50,AdamNaFonieJacka,-2,1644315147432,19.919651,50.059017,19.91969,50.05903,-41.50255,0.30276,21.05568,0.55533,3.22
51,AdamNaFonieJacka,-2,1644315194736,19.919651,50.059204,19.91966,50.05921,-41.23807,0.41632,21.05023,0.64066,3.22
52,AdamNaFonieJacka,-2,1644315277454,19.919651,50.059391,19.91968,50.05936,-42.38644,0.22176,20.19425,0.22660,4.29
53,AdamNaFonieJacka,-2,1644315320496,19.919651,50.059578,19.91969,50.05958,-41.68773,0.35578,20.43478,0.19800,3.22
54,AdamNaFonieJacka,-2,1644315379337,19.919651,50.059765,19.91964,50.05974,-42.25304,0.49790,19.42995,0.55393,4.29
55,AdamNaFonieJacka,-2,1644315557896,19.919367,50.058647,19.91940,50.05867,-40.68131,0.18188,23.21913,0.28012,3.22
56,AdamNaFonieJacka,-2,1644315597615,19.919367,50.058834,19.91939,50.05883,-42.01214,0.19050,20.53666,0.24417,5.36
